,Article Index,Part,Percentage
1928,113222,"OPEC might make deeper cuts in production if prices continue to slide, Gulf oil ministers said Saturday, a day after crude prices tumbled to their lowest levels in five months when producers decided",80
1631,119100,"Technology companies love talking up products that are just about to hit store shelves. And every year,",40
4200,30006,quot;I don 39;t know,20
4139,59498,The US Food and Drug Administration gave consenting adults the ability to carry vital medical records wherever they go by voting Wednesday to approve an implantable computer chip the size of a grain of rice.,100
3541,20614,"Scot Wingo, author of eBay Strategies: 10 Proven Methods to Maximize Your eBay",40
2729,43904,"update MOJAVE, Calif.--A venture backed by Microsoft co-founder Paul Allen got a jump Wednesday on rivals eyeing a  $10 million prize for the first privately funded junkets into space and back.",100
305,107011,Sydney - Doubts over the fate of,20
700,17983,SEOUL The South Korean government insisted,20
4567,105249,"Reuters - Robust consumer spending on cars, furniture and food helped the U.S. economy advance faster than first thought in the",60
1902,55759,"Houston, TX (Sports Network) - Morgan Ensberg went 2-for-4 and drove in three runs to lead Houston over Atlanta",60
3153,103216,"It may be hailed as one of the most innovative and popular video games to date, but media watchdogs are warning parents to think twice before placing the sexually explicit and ultra violent Grand Theft",80
2734,118970,"AP - U.N. Secretary-General Kofi Annan, fending off Republican demands for his resignation over alleged corruption, said Thursday he will expand U.N. support for Iraqi elections if need be. He said he was not offended that President Bush did not ask to see him during this visit to Washington.",100
1105,109620,"GAZA CITY, Gaza Strip: Hamas militants killed an Israeli",20
3980,10045,U.S. law enforcement agents raided five,20
1041,83752,If yesterday's MSTCA Invitational at Franklin Park was a,40
4832,44746,"Washington, Sept. 30.(UNI): The expansion of the global economy could hit a 30-year record in 2004 but will likely slide in 2005 as",60
94,8704,"AMERICAN researchers have unveiled genetically engineered mice that they say can run further and longer than their naturally-bred brethren, bringing the  quot;genetic doping quot; of elite athletes a small step closer to reality.",100
2114,87174,"The Irvine, Calif., PC maker on Thursday will revamp its E-Series line of desktop PCs for businesses with three new models, including a 6300 that sports a new motherboard design, dubbed Balanced Technology Extended (BTX), that helps machines run cooler ",100
3744,96025,"Buoyed by the strong performance of ESPN and its other cable channels, the Walt Disney Company said yesterday that its profit rose 24 percent in its fiscal fourth quarter.",100
3597,95499,Insurance firm says its board now consists of its new CEO Michael Cherkasky and 10,60
3520,58697,Symantec said when someon clicks on an infected link,20
1335,2325,SECURITY EXPERTS MessageLabs,20
4589,36162,"AP - Chicago Bears cornerback Charles Tillman will miss seven to 10 weeks with a right knee injury, a blow to a secondary already stretched thin by injuries to Mike Brown and Jerry Azumah.",100
2600,46242,Computers built with Advanced Micro Devices',20
4125,45971,SanDisk has announced a number of memory,20
169,97526,"AFP - US President George W. Bush told Russian President Vladimir Putin in person for the first time that he worried about ""overcentralization of power"" in the Kremlin, said a senior US official.",100
4630,12615,AP - Rafael Palmeiro didn't return to,20
3414,76272,"Freddie Mac said Thursday that 30-year mortgages have dropped to the lowest level since April 1, providing more of a boost to the housing industry.",100
1959,61300,"Health Management Associates Inc., which operates acute care hospitals in rural areas, lowered profit guidance Friday for the fourth-quarter and fiscal year, citing outages and service disruptions related to Hurricanes Ivan and Jeanne.",100
2620,101860,Danvers quarterback Chris,20
2948,72988,"Reuters - Determined to make sure their voices count, some American expatriates who missed registration deadlines or are worried about the reliability of absentee ballots are",80
2698,23576,"Alaska Airlines closed its Oakland maintenance base Thursday and fired the facility 39;s 340 employees, as the troubled carrier announced cost- cutting moves to",80
217,12344,"POLICE used tear gas today to disperse hundreds of demonstrators who lit fires, smashed windows and beat up journalists as they",60
2002,21947,"WASHINGTON (Reuters) - The U.S. economy is pulling out of a June soft patch and picking up steam, Federal Reserve chief",60
943,42098,"The NFL injury epidemic didn't pause this weekend, with Rich Gannon breaking a vertebra in his neck that will sideline him for eight weeks, and Rex Grossman",80
524,92332,"Reuters - Two British entrepreneurs who founded online dating service Udate.com and sold it last year to media mogul Barry Diller's InterActive Corp  for  36;150 million, have resurfaced to run a professionals-networking Web start-up.",100
4926,99791,Reuters - A suicide truck bomb attack on an Iraqi security checkpoint near an,40
482,26483,"The decades-old design of the Internet is in need of a fundamental overhaul, and Intel",60
3028,106076,"Global chip equipment sales are expected to fall 5.15 percent in 2005, an industry group said on Wednesday in a sharp reversal from its",80
3422,46260,LONDON (Reuters) - Britain's Tony Blair went into hospital on Friday for heart treatment -- but first sought to quell,60
4586,36162,AP - Chicago Bears cornerback Charles Tillman will miss seven to 10 weeks,40
2713,80192,"The waiters, bartenders, room cleaners and cooks who struck seven Atlantic City casinos for a month will all but certainly approve a settlement tonight that",80
1566,109983,"Iraq is prepared to cooperate with Russia and to sign contracts, Iraqi Prime Minister",40
4877,20976,Qantas shares were this morning placed in a trading halt until September 10 at the latest.,60
4117,22474,"AFP - Inflation in Germany, the eurozone's biggest economy, picked up to 2.0 percent last month from 1.8",60
730,26850,Hundreds of demonstrators marched in Turkey,20
4487,28457,We do not have to believe every cynic who says that all the great players are mercenaries who,60
3,93918,"Welcome to The Show! On Novemeber 21 in Homestead, Fla, NASCAR will crown a champion when the inaugural Chase",80
1649,41541,"With the release of the new iMac G5, some educational technology departments might want to check Apple's online education store, where they'll find an additional model available only to education institutions. Cheaper eMacs are there, too.",100
1500,105923,Solo city as it landed,20
655,73973,Apparently anyone who thought there was,20
2010,119270,AFP - The US economy is,20
1526,118384,The staff of the Securities and Exchange Commission has ordered Fannie,40
1271,119033,TOKYO -- Cisco Systems will open a Tokyo-based research and development center,40
2836,99786,"WASHINGTON - Congress is letting employers hire an additional 20,000 foreign high-tech workers",40
4756,94487,US and Iraqi forces recaptured police stations in the northern Iraqi,40
3045,94231,Reuters - Pacific Rim trading,20
428,107657,"AP - President Bush rejected calls for a delay in next month's Iraqi elections, insisting Thursday that the vote was too important to put off even though violence",80
779,45345,Drug company Merck has removed its painkiller Vioxx because of data showing an increased risk of heart attack and stroke.,100
669,7897,Elaine Youngs and three-time Olympian Holly McPeak entered the semifinal of the Olympic beach volleyball tournament with a 0-13 record against compatriots Misty May and Kerri Walsh dating back to Sept.,100
2777,47621,Stocks rose sharply on Friday in heavy trading as software company PeopleSoft Inc. and chip-related stocks boosted the Nasdaq and,60
4321,60099,Olive ridley sea turtles are,40
3888,87910,PC World - Software giant says the final version will be,80
242,85310,"November 08, 2004 - AnandTech have slapped up a great feature and review on ATI 39;s new chipset",60
4716,71931,Malcolm Glazer will make David Gill sweat before deciding whether he wishes to,40
3211,57061,"BRUSSELS, Belgium -- Former No. 1 player Justine",40
4579,104557,A government laboratory and a private company announced a  $2.6 million project Monday to develop hydrogen in a nuclear reactor using a process with ,100
4717,71931,Malcolm Glazer will make David Gill sweat before deciding whether he wishes to pursue his takeover plan for Manchester United.,60
3732,77218,AFP - Seven artists from the new eastern member states of the European Union display their vision of history in,60
4494,36720,"An Islamist group in Iraq said it had killed two female Italian hostages in a statement posted on an Internet site, but the women 39;s employers in Italy said on Thursday they had not given up hope.",100
4901,109310,"International Olympic Committee (IOC) president Jacques Rogge announced December 7, 2004 he",40
1018,14209,"The Iraqi deputy prime minister arrived Sunday in the Tehran, Iran, a day later than planned, the BBC reported. Deputy Prime Minister Barham Saleh",80
180,76062,Yahoo Inc. has followed,20
1607,20961,MIAMI (Ticker) - Miami Dolphins fullback Rob Konrad underwent surgery to remove a bursal,60
3219,84739,"How Manchester United wish they could play in the Champions League week in and week out. After plundering fours goals against Sparta Prague in midweek, they came a cropper again in the Barclays Premiership.",100
1611,25784,Eri Suheri can be seen most mornings in the same spot in,40
1914,109082,"Computer-security experts, including former government officials, urged the Bush administration on Tuesday to devote more effort to strengthening defenses against viruses, hackers and other online threats. ;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""666666"";;B;-Reuters;/B;;/FONT;",100
3304,20311,HAMILTON (CP) - Andre Rison has been to five NFL Pro Bowls and owns a Super Bowl ring. So maybe that 39;s why he seemed a little underwhelmed by his CFL debut in a thrilling and bizarre 30-30 Labour Day tie between ,100
4595,113837,Sonys PlayStation console has,20
4131,47688,"Baseball fans across Japan Saturday honored Ichiro Suzuki, the Seattle",40
4064,106772," PALE, Bosnia (Reuters) - NATO peacekeepers once patrolled  this Bosnian Serb rebel stronghold in armored personnel  carriers, but the town is now so calm an EU force taking over  on Thursday could monitor it from the bar.",100
4506,112180,Australian Bradley Hughes leads by four shots after round two of the Australian Masters in,40
769,74542,"Metal processor Ryerson Tull Inc. on Wednesday said it agreed to acquire Integris Metals Inc., a joint venture of aluminum producer Alcoa Inc.",100
3919,33215,"BLOOMFIELD TOWNSHIP, Mich. -- They were hoping for a sporting miracle yesterday, only it didn't materialize. Now, American Ryder Cup players must hope for a diplomatic miracle.",100
3340,39752,Wal-Mart Stores Incorporate vice chairman,20
1781,35988,Reuters - U.S. Treasury yields hovered near five-month lows on,40
4896,12954,Manchester United and Newcastle are expected to increase their bids for,40
2080,48517,Separatists are suspected of bombing,20
1471,49015,AFP - Poland will pull all of its troops out of Iraq by the,40
3733,77218,"AFP - Seven artists from the new eastern member states of the European Union display their vision of history in a special exhibition, celebrating EU enlargement, at",80
3357,83786,Reuters - British police voiced astonishment on Sunday that so many people survived a high-speed crash of a 300-passenger,60
491,78569,BOLTON returned to fourth place in the Premier League,40
2604,46242,Computers built with Advanced Micro Devices' Opteron processor soon will be able to take advantage of the same power management technology the company has already built into its laptop and desktop microchips.,100
4370,55316,"At age 42, Roger Clemens has",20
2831,98927,"The success of platforms like JBoss, Apache",40
3352,25714,"ST. LOUIS -- Marshall Faulk and Emmitt Smith, members of what Faulk jokingly referred to as the quot;Over 30 club, quot; quieted any talk about last hurrahs. Faulk, 31, shared time with St. Louis Rams first-round pick",60
1328,28031,SYDNEY - A deadline set by supposed hostage-takers in Iraq for Australian Prime Minister John Howard to announce a withdrawal of Australian forces from their country passed Wednesday with no announcement,80
4568,105249,"Reuters - Robust consumer spending on cars, furniture and food helped the U.S. economy advance faster than first thought in the third quarter, a government report showed, while",80
1685,12453,AP - Julian Tavarez's,20
349,76586,"Militants piled more pressure on Washington 39;s military allies in Iraq on Thursday, seizing a Polish woman and holding a Japanese man under threat of death.",100
1696,422,Does Playboy Interview Violate Google IPO? On the day of the IPO comes more Google controversy - Google rsquo;s founders,40
15,59891,Apple announced on Wednesday that,20
4546,5119,Giant US electronics retailer Best Buy has been,40
1650,72292,The fans of the St. Louis,20
1001,94613,"BUENOS AIRES -- Bombs exploded at three banks in the Argentine capital yesterday, including two branches of US giant Citibank, killing one security guard",40
3306,34405,JERUSALEM - Masked Palestinian gunmen killed a suspected collaborator in a public square in Tulkarem,40
4192,41992,Modern imaging techniques have revealed some new information about the,60
4082,104577,Olympic champions Justin Gatlin and Joanna Hayes won the 2004 Jesse Owens Awards by USA Track amp; Field,60
2598,11522,Bush administration officials denied any role Thursday in the pardon of four Cuban exiles by Panama. Three of the exiles -- convicted in a plot to assassinate Fidel,80
3885,87910,PC World,20
158,25296,"Democracy candidates picked up at least one more seat in parliament, according",80
1247,25248,"AP - Rosie Gacioch, whose baseball experiences during the World War II era helped inspire",60
4843,71716,"Kabul - Afghanistan 39;s vote count slowed as it drew to completion on Monday, a day after incumbent leader Hamid Karzai secured",80
2855,12211,PC giant unveils,20
746,22084,Hoping to avoid a repeat of Janet Jackson 39;s infamous wardrobe malfunction during last February,40
1096,81543,A $100 million supercomputer being built to analyze the nation 39;s,40
317,1582,"MANILA, Philippines - Filipino and British wildlife researchers say they 39;ve stumbled upon what appears to be a new species of",60
4760,53188,Golfer Tiger Woods went scuba diving Tuesday off,20
3408,21829,"Yahoo Testing Travel Search Engine Yahoo is launching its public beta test of a travel search engine based on its recent acquisition of online travel company FareChase. In a statement to the Search Engine Journal, Yahoo made the test site available",80
4460,115713,"Microsoft MSN Desktop Search Is Out In Beta As expected,",20
1320,44371,InfoWorld - Gateway plans to,20
4886,113757,Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of,40
4302,61234,Jerusalem (AsiaNews/Agencies) - Israel will set no limit to the number of Muslim worshippers,60
3022,14588,NEW YORK - U.S stock futures were moving into negative territory early Monday at the start of a quiet earnings and a noisy political week. Dow Jones futures,60
1428,7570,"PC maker Gateway Inc. said on Sunday its new line of notebooks, desktop personal computers and monitors aimed at retail markets will be available at Micro Center",80
3398,53833,Asian stocks fell as a fourth weekly gain in oil prices increased concern that record fuel costs will,80
134,17706,"Computer, chip maker will license much of the technology behind their compact servers -- for free. NEW YORK (Reuters) - International Business Machines Corp.",100
3271,71174,Notre Dame knew what it needed to do but couldn 39;t get it done for the fourth,40
3421,46260,LONDON (Reuters) - Britain's Tony Blair went into hospital on Friday for heart,40
1740,25181,AP - Toronto,20
4747,10084,"British scientists say they have found a new, greener way to power cars and homes",60
4657,26918,"IBM (Quote, Chart) is donating software for speech-enabled applications to the open source community, a move supported by more",60
2702,42306,AP - The list of 23 fellows announced by the John D. and Catherine,60
4814,44642,"The International Monetary Fund has lowered its 2004 economic growth forecast for Korea to 4.6 percent, citing weak domestic consumer spending amid rising household and corporate debt.",100
1395,106688,AP - Iraq's national air carrier began,20
844,59527,The Post's Jonathan Weisman discusses the increasing importance of temporary employment to the American economy.,100
3047,94231,Reuters - Pacific Rim trading nations said on Wednesday they should pool their influence to,60
1159,82512,"The move is seen as an effort to appease Molson's investors, who have criticized the planned merger with Coors because it did not include a takeover premium for their shares.",100
4300,61234,Jerusalem (AsiaNews/Agencies) - Israel,20
3590,90280,Iraqi national security adviser,20
3716,81545,Newcastle United took control of Group D with a comfortable 2-0 win over Dynamo Tbilisi at,40
2147,25629,US forces kill 22 suspected Taleban militants in,60
826,103680,Two months after elections that were criticized as,40
2578,73555,"SPACE.com - Newly discovered galactic highways cut across the Milky Way at odd angles, bringing stars through the",80
4074,17586,"For however many millennia mankind has peered at the heavens, no one had ever identified a planet outside the solar system, and, being prone to extrapolating, many assumed no one ever would.",100
2664,108126,"(Sports Network) - The Houston Rockets fell to the Dallas Mavericks in overtime, 113-106, at AmericanAirlines Center on Thursday. Tracy McGrady also had an excellent game, scoring a season-high 48 points on ",100
2240,47844,Kyle Orton found a way to win,20
429,107657,"AP - President Bush rejected calls for a delay in next month's Iraqi elections, insisting Thursday that the vote was too important to put off even though violence and chaos still grip much of the country.",100
1800,119848,INDIANAPOLIS Jamaal Tinsley scored 17 of,20
3958,79215,The headline-grabbing rivalry between Shaquille O 39;Neal and Kobe Bryant is likely to dominate the opening weeks of the NBA,80
3317,43539,The scientists behind Dolly the sheep apply for a license to clone human embryos. They want,60
4180,58265,InfoWorld - Hoping to both bolster resources available to its,20
4775,26312,Charlton boss Alan Curbishley,20
2956,8891,in the form of a virtual girlfriend. The Hong,40
1453,51371,"BANGKOK, Thailand (DPA): Activists from the Greenpeace environmentalist group on Wednesday handcuffed themselves to the gates of the Malaysian embassy in Bangkok to protest Malaysia 39;s quot;laundering quot;",80
3395,53833,Asian stocks fell as,20
2617,110885,"Scientists have analyzed the genetic makeup of chickens, and it is providing valuable information about how human genes",60
954,79787,"IT spending in Western Europe is lagging behind the rest of the world, according to figures unveiled at Gartner 39;s annual Symposium IT Expo in Cannes this week.",100
871,99667,Opener Virender Sehwag hit his eighth test century with an unbeaten 108 to guide,40
2656,64395,Federal regulators have rejected the second of two suitors for Independence,40
4799,119566,"JONKOPING, Sweden (CP) - The Worldstars had no intention of being blown out of the rink two games in a row in Sweden. The travelling band of locked out NHL players turned in a solid defensive game and got ",100
2991,32002,VIENNA - The UN atomic watchdog agency demanded Iran,40
489,52445,"Google, the increasingly powerful internet search engine, could overhaul the way books are sold with a planned service that allows users to search full texts and buy titles online.",100
4475,108742,"KENNEWICK, Wash., (Sports Network) -",20
3372,62615,Spin bowler Anil Kumble took three wickets as India reduced Australia to 150-4 in its second innings at stumps on,60
405,9530,Indian software and services giant,20
1712,84121,"Beaver Creek - In a quiet moment the day before the first World Cup race this season, US Ski Team men 39;s coach Phil McNichol",60
1705,97045,Reuters - Oracle Corp. Friday said 61,20
4354,66560,AP - Jets guard Pete Kendall has a unique appreciation for the record streak the New England Patriots are on.,100
906,26818,Goalkeeper Jens Lehmann has revealed he didn 39;t expect to be,40
4684,86160,Development tools for upcoming upgrade to Unix operating system will be coming soon.,100
4228,1629,"NEW YORK, August 17 (New Ratings) The US consumer prices declined for the first time in the past eight months in July this year, driven by the reduced",80
4183,58265,"InfoWorld - Hoping to both bolster resources available to its network of business partners as well as expand its number of partners, IBM on Tuesday introduced services and support programs that boost financial support for co-marketing campaigns and grant deeper",80
1623,58186,"A cold October wind chilled Yankee Stadium Monday afternoon, ushering in autumn while the New York Yankees",80
4925,99791,Reuters - A suicide truck bomb attack,20
1075,7949,Canadian Press - VANCOUVER (CP) - The,20
4969,64279,"TEHRAN, Iran - Iran said yesterday it is prepared to suspend some nuclear activities but would not surrender its right to enrich uranium.",100
2213,88419,"BERLIN - More than 100 American soldiers, seriously wounded during the Falluja offensive in Iraq, arrived at the United States 39; main European military hospital in",80
2227,77913,He called on candidates and election staffs to cool down. The one who carries out the election struggle with dignity and finds the shortest,60
3307,34405,"JERUSALEM - Masked Palestinian gunmen killed a suspected collaborator in a public square in Tulkarem in the West Bank yesterday, throwing the",60
3782,40434,"EL GENEINA, Sudan Sept. 26, 2004 - West Darfur 39;s governor on Sunday linked an alleged coup attempt against the national",60
2228,77913,He called on candidates and election staffs to cool down. The one who carries out the election struggle with dignity and finds the shortest way to the minds and hearts of voters,80
4577,104557,A government laboratory and a private company announced a $2.6 million project Monday to,60
709,25579,No one had to remind Dallas and Minnesota about how little Sunday 39;s opener at the Metrodome means over the course of a full season.,100
1266,51879,"SAN FRANCISCO (CBS.MW) -- UAL Corp., parent of United Airlines,",40
4470,31936,Three years after Manila-based Chikka.com launched its,20
1779,36844,Consumer electronics giant Sony Corp. said on Thursday it is mulling a major strategic shift to make digital music devices that play MP3 song files.,100
231,11245,US elite triathlete Susan Williams became a media darling on Wednesday when she overcame high temperatures,40
2837,99786,"WASHINGTON - Congress is letting employers hire an additional 20,000 foreign high-tech workers under a special visa program after businesses",60
632,118003,"NEW YORK/SAN FRANCISCO (Reuters) - Symantec Corp. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SYMC.O target=/stocks/quickinfo/fullquote"";SYMC.O;/A;, a maker of security software, on Thursday said it would buy storage software",60
1423,77765,Yasir Arafat arrived in France as the guest of the French government and was taken to a military hospital for,80
3394,70645,"AP - Shredding what had been the NFL's leading defense against the rush, Priest Holmes and Derrick Blaylock each scored four times on the ground Sunday in Kansas City's stunning 56-10 rout of Atlanta.",100
4395,93494,AFP - Media and mobile telephone,20
2195,89496,The International Atomic Energy Agency,20
3423,46260,LONDON (Reuters) - Britain's Tony Blair went into hospital on Friday for heart treatment -- but first sought to quell speculation over his future by pledging to,80
1938,25492,"Reuters - US Airways Group Inc. sought bankruptcy on Sunday for the second time in two years, squeezed by low-cost rivals, soaring fuel prices and",80
4348,94127,"NEW YORK (Reuters) - Cocoa prices sank on Wednesday as exporters in top-grower Ivory Coast kept up with the arrival of the new crop, which was halted several times this month by",80
1,93918,"Welcome to The Show! On Novemeber 21 in Homestead,",40
1668,42848,Prime Minister Tony Blair faced angry protests as he urged his party to set aside its differences over Iraq and seize the chance of,80
1919,38229,;strong;Letters:;/strong; More from the ;em;Reg;/em; postbag,100
1285,53795,The surge of violence in the Middle East,20
2736,74013,Florida coach Ron Zook was not fired on Monday without a fight.,40
1190,99073,Update to,20
3078,28825,"NEW YORK - Stocks sagged Wednesday after Coca-Cola Co. and several other companies issued gloomy forecasts, and a lower-than-expected reading on industrial production for August threw",80
3852,117793,Former Rangers star Ally McCoist has described the current team as powder-puff following their UEFA Cup exit last night. Alex McLeishs side needed,60
43,116149,"BOSTON, Dec. 14 - Most New Englanders are walking around with more cheer and about $20 less in their pockets this holiday season. They are reliving the gift of their dreams -",80
1478,21279,Tens of thousands of people rallied Tuesday outside the Kremlin in a show of solidarity against terrorism. The demonstration came nearly a week,80
69,78833,"Gunmen killed the deputy governor of Baghdad today on his way to work, Iraqi officials said. Hatim Kamil was assassinated in a drive-by shooting this morning, said Baghdad Governor Ali al-Haidari.",100
1837,76433,Nintendo is hoping to retain its dominance of the portable game market with,60
4993,59766,Iron Mountain plans to acquire Connected Corp. to enhance its online backup,80
2536,36404,Los Angeles Dodgers first baseman Shawn Green will definitely sit out at least one game,40
3396,53833,Asian stocks fell as a fourth weekly gain in,40
4594,68749,"TORONTO - Ford Motor Co. is reported to be on the verge of announcing a  $1-billion investment at its plant in Oakville, Ont. The company has decided to build a flexible manufacturing plant at the site, the Toronto Star reported Friday.",100
3778,27615,Patches released for flaws in software package that lets Windows files and printers be shared by,80
4667,17103,Two French reporters who are being held hostage in Iraq are alive and in good,60
4691,98689,A computer firm is criticised by,40
4618,17909,SEC filing shows just how much open source is worrying,80
1400,10941,"Write down the date, Aug. 26,",20
441,77506,"Oil prices bounced higher Friday following two days of sharp declines, but traders said",40
1125,104933,Three Hollywood studios have,20
4641,55537,AP - David Beckham broke his rib moments after scoring,40
1206,46991,"BERKELEY, Calif.--Microsoft Chairman Bill Gates kicked off a whirlwind day in the Bay",40
678,10769,"I spend anywhere from three to eight hours every week sweating along with a motley crew of local misfits, shelving, sorting, and hauling ton after ton of written matter in a rowhouse basement in Baltimore. We have no heat nor air conditioning, but still, every week, we come and work. Volunteer night is Wednesday, but many of us also work on the weekends, when we're open to the public. There are times when we're freezing and we have to wear coats and gloves inside, making handling books somewhat tricky; other times, we're all soaked with sweat, since it's 90 degrees out and the basement is thick with bodies. One learns to forget about personal space when working at The Book Thing, since you can scarcely breathe without bumping",80
1905,92210,Federal drug regulators strengthened,20
109,45753,"Faced with mountains of inventory, quick thinking by some semiconductor manufacturers helped the market avoid its first decrease in chip sales since the war in Iraq began.",100
3824,96023,"LONDON : British music group EMI reported a fall in interim profits as sales dropped by 11.4 percent, reflecting a release schedule skewed towards the second half and the strength of sterling.",100
1377,55507,Sunday 39;s Japanese GP looks set to go ahead as planned after the feared typhoon largely bypassed Suzuka on Saturday. With fears,60
4614,21435,Tokyo stocks fell Wednesday in the absence of market-moving news at home. The US dollar was down against the Japanese yen. The Nikkei Stock Average of 225 issues closed down 19.,100
1704,93467," TAMPA, Fla. (Sports Network) - Tyler Palko threw for a  career-high 411 yards and five touchdowns, leading 19th-ranked  Pittsburgh to a 43-14 drubbing of South Florida at Raymond  James Stadium.",100
3995,28012,If there were a,20
2845,106419,Putting some of,20
4798,119566,"JONKOPING, Sweden (CP) - The Worldstars had no intention of being blown out of the rink two games in a row in Sweden. The travelling band of locked out NHL players",80
183,76062,"Yahoo Inc. has followed Google into the mobile-search arena, launching a service that allows wireless users to query its",80
1343,109748,"WASHINGTON -- In a case that could yield a bonanza for Washington state 39;s expanding wine industry, the Supreme Court yesterday was asked to dismantle Depression-era laws that prohibit",80
3793,118149,"Beijing, Dec. 16 (PTI): China today said it opposed terrorism quot;in all forms quot;, and vowed to enhance cooperation with Pakistan to jointly fight against the menace as also to develop the",80
3187,45506,"InfoWorld - Fresh from introducing a major upgrade to the Java platform, Sun Microsystems officials on Thursday revealed some details",60
4029,118994,Russian Foreign Minister Sergei Lavrov said Friday that the legal case against the country 39;s embattled oil giant Yukos will be handled under Russian law.,100
2261,74346,"NEW YORK, October 27 (newratings.com) - Apple Computer (AAPL.NAS) has introduced a new",40
2622,101860,Danvers quarterback Chris Small and senior Ned Grady have been,60
2818,41575,"Targeted for the teen and young-adult consumer markets, the Ogo will retail for $99 following a $30 mail-in rebate. Its clamshell design includes a 4K",80
2900,78803,A few months ago I wrote about Web browser,20
1062,110164,"Lawnmower manufacturer Toro Co. on Wednesday said its profit grew 23 percent in the fourth quarter, helped by higher",60
4341,96783,AP - Scientists from across Asia will launch a genetic study of,40
3889,87910,PC World - Software giant says the final version will be available next year.,100
4835,114279,The US Army said that,20
3530,15817,A much-watched Alzheimer 39;s medicine Forest,20
